指标名称,中国涤纶长丝月度产量,中国涤纶短纤月度产量
2024-08-31,,658.7
2024-07-31,3694.44,721.1
2024-06-30,3640.73,720
2024-05-31,3798.41,697.2
2024-04-30,3822.52,676
2024-03-31,3884.93,671.1
2024-02-29,3238.19,536.2
2024-01-31,3709.64,639.7
2023-12-31,3873.95,680.9
2023-11-30,3787.55,660.6
2023-10-31,3897.64,669.9
2023-09-30,3773.1,622.1
2023-08-31,3870.93,646.7
2023-07-31,3874.21,605.5
2023-06-30,3683.93,567.5
2023-05-31,3675.39,540.7
2023-04-30,3533.71,576.2
2023-03-31,3556.56,660.8
2023-02-28,2505.58,541
2023-01-31,1977.86,576.2
2022-12-31,2309.39,608.7
2022-11-30,2769.77,602.5
2022-10-31,3375.22,613.4
2022-09-30,3387.73,585.3
2022-08-31,3109.23,633.5
2022-07-31,2989.74,639.2
2022-06-30,3170.22,585.9
2022-05-31,3095.49,527
2022-04-30,3025.01,530.7
2022-03-31,3496.52,652.5
2022-02-28,3046.7,570.1
2022-01-31,3183.1,618.6
2021-12-31,3165.09,624.9
2021-11-30,3092.5,507.9
2021-10-31,2819.9,510.1
2021-09-30,2942.9,517.2
2021-08-31,3351.1,598.5
2021-07-31,3476.9,667.8
2021-06-30,3126.9,632.9
2021-05-31,3300.4,670.2
2021-04-30,3285.69,665
2021-03-31,3326.1,668
2021-02-28,2467.3,549
2021-01-31,3066.7,597
2020-12-31,3210.2,642
2020-11-30,3098,653.2
2020-10-31,3114,673.6
2020-09-30,2992,640.3
2020-08-31,3042,626.7
2020-07-31,2936,627.4
2020-06-30,2822,581.6
2020-05-31,2857,601.7
2020-04-30,2726,569
2020-03-31,2595,512.1
2020-02-29,1804,401.4
2020-01-31,2273,494.6
2019-12-31,2686,539.6
2019-11-30,2736,528.9
2019-10-31,2831,533.1
2019-09-30,2768,557.6
2019-08-31,2700,540
2019-07-31,2663,546.4
2019-06-30,2626,513.72
2019-05-31,2719,524.6
2019-04-30,2648,523.2
2019-03-31,2679,532.9
2019-02-28,2010,467.8
2019-01-31,2335,494.4
2018-12-31,2558,483.41
2018-11-30,2468,476.7
2018-10-31,2558,408.76
2018-09-30,2475.4,393.1
2018-08-31,2678,465.7
2018-07-31,2530,504.6
2018-06-30,2447,509.5
2018-05-31,2500,496.9
2018-04-30,2385,473.9
2018-03-31,2324.85,441.1
2018-02-28,1800.59,392
2018-01-31,2308.46,449.9
2017-12-31,2375.58,439.1
2017-11-30,2276,438.9
2017-10-31,2339.71,435.5
2017-09-30,2193.33,421.4
2017-08-31,2234.88,428.3
2017-07-31,2241.44,417
2017-06-30,2146.58,412.7
2017-05-31,2178.46,413.8
2017-04-30,2108.05,413.8
2017-03-31,2152.47,416.2
2017-02-28,1768,379.61
2017-01-31,1972,382.8
2016-12-31,2225,393.7
2016-11-30,2125,398.6
2016-10-31,2150,412.7
2016-09-30,1810,398.3
2016-08-31,1900,403
2016-07-31,2110,389.9
2016-06-30,2045,372.7
2016-05-31,2130,367.3
2016-04-30,2035,380.5
2016-03-31,2015,351.1
2016-02-29,1375,280.1
2016-01-31,1745,304.9
2015-12-31,2020,372.6
2015-11-30,2040,362.1
2015-10-31,2073,357.7
2015-09-30,2032,367.9
2015-08-31,1970,325.12
2015-07-31,1930,322.16
2015-06-30,1950,357.1
2015-05-31,2065,381.9
2015-04-30,1980,385.4
2015-03-31,1760,389.6
2015-02-28,1424.5,305.6
2015-01-31,1860,338.42
2014-12-31,1880,355.5
2014-11-30,1858,301.1
2014-10-31,1835,316
2014-09-30,1765,312
2014-08-31,1732,312
2014-07-31,1755,328
2014-06-30,1840,341
2014-05-31,1990,334
2014-04-30,1905,332
2014-03-31,1805,330
2014-02-28,1355,280
2014-01-31,1540,310
