指标名称,中国:产成品存货:石油和天然气开采业
2013-02-28,879515.2
2013-03-31,850226.3
2013-04-30,840940.0
2013-05-31,872883.3
2013-06-30,932176.9
2013-07-31,934291.9
2013-08-31,991865.6
2013-09-30,955155.8
2013-10-31,1037834.2
2013-11-30,1085660.7
2013-12-31,1112107.7
2014-02-28,997333.3
2014-03-31,934519.3
2014-04-30,950468.6
2014-05-31,1024076.0
2014-06-30,976618.0
2014-07-31,1121375.4
2014-08-31,1159593.1
2014-09-30,1197858.4
2014-10-31,1149426.3
2014-11-30,1163353.4
2014-12-31,1073946.1
2015-02-28,997739.4
2015-03-31,931512.2
2015-04-30,991079.9
2015-05-31,986294.0
2015-06-30,973906.0
2015-07-31,1053879.6
2015-08-31,1098081.9
2015-09-30,1086386.6
2015-10-31,1030717.0
2015-11-30,966000.0
2015-12-31,954000.0
2016-02-29,1037000.0
2016-03-31,1051000.0
2016-04-30,1029000.0
2016-05-31,1149000.0
2016-06-30,1118000.0
2016-07-31,989000.0
2016-08-31,1025000.0
2016-09-30,1092000.0
2016-10-31,1087000.0
2016-11-30,1077000.0
2016-12-31,954000.0
2017-02-28,1178000.0
2017-03-31,1158000.0
2017-04-30,1307000.0
2017-05-31,1197000.0
2017-06-30,1163000.0
2017-07-31,1166000.0
2017-08-31,1116000.0
2017-09-30,1084000.0
2017-10-31,1057000.0
2017-11-30,1118000.0
2017-12-31,1050000.0
2018-02-28,1031000.0
2018-03-31,991000.0
2018-04-30,995000.0
2018-05-31,977000.0
2018-06-30,994000.0
2018-07-31,1049000.0
2018-08-31,1146000.0
2018-09-30,1172000.0
2018-10-31,1133000.0
2018-11-30,1103000.0
2018-12-31,1017000.0
2019-02-28,1065000.0
2019-03-31,1058000.0
2019-04-30,1011000.0
2019-05-31,1051000.0
2019-06-30,1030000.0
2019-07-31,1043000.0
2019-08-31,1132000.0
2019-09-30,1070000.0
2019-10-31,1103000.0
2019-11-30,1189000.0
2019-12-31,1002000.0
2020-02-29,1049000.0
2020-03-31,985000.0
2020-04-30,946000.0
2020-05-31,999000.0
2020-06-30,951000.0
2020-07-31,988000.0
2020-08-31,1016000.0
2020-09-30,829000.0
2020-10-31,860000.0
2020-11-30,899000.0
2020-12-31,886000.0
2021-02-28,854000.0
2021-03-31,891000.0
2021-04-30,879000.0
2021-05-31,904000.0
2021-06-30,942000.0
2021-07-31,902000.0
2021-08-31,900000.0
2021-09-30,940000.0
2021-10-31,1018000.0
2021-11-30,1124000.0
2021-12-31,967000.0
2022-02-28,965000.0
2022-03-31,876000.0
2022-04-30,969000.0
2022-05-31,987000.0
2022-06-30,1033000.0
2022-07-31,1071000.0
2022-08-31,1089000.0
2022-09-30,1051000.0
2022-10-31,1091000.0
2022-11-30,1148000.0
2022-12-31,1040000.0
2023-02-28,955000.0
2023-03-31,871000.0
2023-04-30,867000.0
2023-05-31,870000.0
2023-06-30,860000.0
2023-07-31,916000.0
2023-08-31,960000.0
2023-09-30,950000.0
2023-10-31,996000.0
2023-11-30,1102000.0
2023-12-31,1005000.0
2024-02-29,1006000.0
2024-03-31,952000.0
2024-04-30,943000.0
2024-05-31,925000.0
2024-06-30,1042000.0
2024-07-31,1057000.0
